,surname,creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited
0,Hargrave,619,France,Female,42,2,0,1,1,1,101348,1
1,Hill,608,Spain,Female,41,1,83807,1,0,1,112542,0
2,Onio,502,France,Female,42,8,159660,3,1,0,113931,1
4,Mitchell,850,Spain,Female,43,2,125510,1,1,1,79084,0
5,Chu,645,Spain,Male,44,8,113755,2,1,0,149756,1
6,Bartlett,822,France,Male,50,7,0,2,1,1,10062,0
7,Obinna,376,Germany,Female,29,4,115046,4,1,0,119346,1
8,He,501,France,Male,44,4,142051,2,0,1,74940,0
9,No information avilable,684,France,Male,27,2,134603,1,1,1,71725,0
10,Bearce,528,France,Male,31,6,102016,2,0,0,80181,0
11,Andrews,497,Spain,Male,24,3,0,2,1,0,76390,0
12,Kay,476,France,Female,34,10,0,2,1,0,26260,0
13,Chin,549,France,Female,25,5,0,2,0,0,190857,0
14,Scott,635,Spain,Female,35,7,0,2,1,1,65951,0
15,Goforth,616,Germany,Male,45,3,143129,2,0,1,64327,0
16,Romeo,653,Germany,Male,58,1,132602,1,1,0,5097,1
17,Henderson,549,Spain,Female,24,9,0,2,1,1,14406,0
18,Muldrow,587,Spain,Male,45,6,97245,1,0,0,158684,0
19,Hao,726,France,Female,24,6,0,2,1,1,54724,0
20,McDonald,732,France,Male,41,8,0,2,1,1,170886,0
21,Dellucci,636,Spain,Female,32,8,0,2,1,0,138555,0
22,Gerasimov,510,Spain,Female,38,4,0,1,1,0,118913,1
23,Mosman,669,France,Male,46,3,0,2,0,1,8487,0
24,Yen,846,France,Female,38,5,0,1,1,1,187616,0
25,Maclean,577,France,Male,25,3,0,1,0,1,124508,0
26,Young,756,France,Male,36,2,136815,1,1,1,170041,0
27,Nebechi,571,France,Male,44,9,0,2,0,0,38433,0
28,McWilliams,574,Germany,Female,43,3,141349,1,1,1,100187,0
29,Lucciano,411,France,Male,29,0,59697,2,1,1,53483,0
30,Azikiwe,591,Spain,Female,39,3,0,3,1,0,140469,1
31,Odinakachukwu,533,France,Male,36,7,85311,1,0,1,156731,0
32,Sanderson,553,Germany,Male,41,9,110112,2,0,0,81898,0
33,Maggard,520,Spain,Female,42,6,0,2,1,1,34410,0
34,Clements,722,Spain,Female,29,9,0,2,1,1,142033,0
35,Lombardo,475,France,Female,45,0,134264,1,1,0,27822,1
36,Watson,490,Spain,Male,31,3,97245,1,0,1,114066,0
37,Lorenzo,804,Spain,Male,33,7,76548,1,0,1,98453,0
38,Armstrong,850,France,Male,36,7,0,1,1,1,40812,0
39,Cameron,582,Germany,Male,41,6,70349,2,0,1,178074,0
40,Hsiao,472,Spain,Male,40,4,0,1,1,0,70154,0
41,Clarke,465,France,Female,51,8,122522,1,0,0,181297,1
42,Osborne,556,France,Female,61,2,117419,1,1,1,94153,0
43,Lavine,834,France,Female,49,2,131394,1,0,0,194365,1
44,Bianchi,660,Spain,Female,61,5,155931,1,1,1,158338,0
45,Tyler,776,Germany,Female,32,4,109421,2,1,1,126517,0
46,Martin,829,Germany,Female,27,9,112045,1,1,1,119708,1
47,Okagbue,637,Germany,Female,39,5,137843,1,1,1,117622,1
48,Yin,550,Germany,Male,38,2,103391,1,0,1,90878,0
49,Buccho,776,Germany,Female,37,2,103769,2,1,0,194099,0
50,Chidiebele,698,Germany,Male,44,10,116363,2,1,0,198059,0
51,Trevisani,585,Germany,Male,36,5,146050,2,0,0,86424,0
52,O'Brien,788,France,Female,33,5,0,2,0,0,116978,0
53,Parkhill,655,Germany,Male,41,8,125561,1,0,0,164040,1
54,Yoo,601,Germany,Male,42,1,98495,1,1,0,40014,1
55,Phillipps,619,France,Male,43,1,125211,1,1,1,113410,0
56,Tsao,656,France,Male,45,5,127864,1,1,0,87107,0
57,Endrizzi,725,Germany,Male,19,0,75888,1,0,0,45613,0
58,T'ien,511,Spain,Female,66,4,0,1,1,0,1643,1
59,Velazquez,614,France,Male,51,4,40685,1,1,1,46775,0
60,Hunter,742,Germany,Male,35,5,136857,1,0,0,84509,0
